runbook_id,path,family,handler,profile,required_signals,vulnerable_rule,secure_rule,inconclusive_rule,producer,equivalence_group,fixture_set
API-DATA-EXCESSIVE-001,runbooks/data-exposure/api-data-excessive-001.yaml,data-exposure,http,excessive-data-exposure,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/excessive-data-exposure,none,api-data-excessive-001.json
API-DATA-HEALTH-METRICS-010,runbooks/data-exposure/api-data-health-metrics-010.yaml,data-exposure,fuzz,health-metrics-exposure,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/health-metrics-exposure,none,api-data-health-metrics-010.json
API-DATA-PII-RESPONSE-005,runbooks/data-exposure/api-data-pii-response-005.yaml,data-exposure,http,pii-response-exposure,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/pii-response-exposure,none,api-data-pii-response-005.json
API-DATA-SECRET-RESPONSE-006,runbooks/data-exposure/api-data-secret-response-006.yaml,data-exposure,nuclei,secret-response-exposure,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/secret-response-exposure,none,api-data-secret-response-006.json
API-DATA-SENSITIVE-HEADERS-002,runbooks/data-exposure/api-data-sensitive-headers-002.yaml,data-exposure,headers,sensitive-response-headers,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/sensitive-response-headers,none,api-data-sensitive-headers-002.json
API-DATA-STACKTRACE-003,runbooks/data-exposure/api-data-stacktrace-003.yaml,data-exposure,http,stack-trace-exposure,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/stack-trace-exposure,none,api-data-stacktrace-003.json
API-DATA-VERBOSE-ERROR-004,runbooks/data-exposure/api-data-verbose-error-004.yaml,data-exposure,http,verbose-error-details,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/verbose-error-details,none,api-data-verbose-error-004.json
API-DISC-BACKUP-SPEC-007,runbooks/discovery/api-disc-backup-spec-007.yaml,discovery,fuzz,openapi-backup-files,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/openapi-backup-files,none,api-disc-backup-spec-007.json
API-DISC-BASEPATH-VARIANTS-012,runbooks/discovery/api-disc-basepath-variants-012.yaml,discovery,fuzz,api-basepath-variants,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/api-basepath-variants,none,api-disc-basepath-variants-012.json
API-DISC-ENDPOINT-WORDLIST-004,runbooks/discovery/api-disc-endpoint-wordlist-004.yaml,discovery,fuzz,api-endpoint-discovery,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/api-endpoint-discovery,none,api-disc-endpoint-wordlist-004.json
API-DISC-GATEWAY-FINGERPRINT-011,runbooks/discovery/api-disc-gateway-fingerprint-011.yaml,discovery,headers,api-gateway-fingerprint,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/api-gateway-fingerprint,none,api-disc-gateway-fingerprint-011.json
API-DISC-GRAPHQL-ENDPOINT-008,runbooks/discovery/api-disc-graphql-endpoint-008.yaml,discovery,graphql,graphql-endpoint-discovery,"errors,graphql_introspection_enabled,prerequisites_missing,response_body,target_reachable",graphql_introspection_enabled or 'errors' in response_body,not graphql_introspection_enabled and 'errors' not in response_body,target_reachable == false or prerequisites_missing == true,graphql/graphql-endpoint-discovery,none,api-disc-graphql-endpoint-008.json
API-DISC-GRAPHQL-INTROSPECTION-009,runbooks/discovery/api-disc-graphql-introspection-009.yaml,discovery,graphql,graphql-introspection,"errors,graphql_introspection_enabled,prerequisites_missing,response_body,target_reachable",graphql_introspection_enabled or 'errors' in response_body,not graphql_introspection_enabled and 'errors' not in response_body,target_reachable == false or prerequisites_missing == true,graphql/graphql-introspection,none,api-disc-graphql-introspection-009.json
API-DISC-METHOD-ENUM-005,runbooks/discovery/api-disc-method-enum-005.yaml,discovery,http,http-method-enumeration,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/http-method-enumeration,none,api-disc-method-enum-005.json
API-DISC-OPENAPI-COMMON-001,runbooks/discovery/api-disc-openapi-common-001.yaml,discovery,openapi,openapi-common-paths,"openapi_security_insecure,openapi_security_schemes_present,prerequisites_missing,response_body,response_status,target_reachable,undefined",openapi_security_insecure or 'undefined' in response_body,openapi_security_schemes_present or response_status==401,target_reachable == false or prerequisites_missing == true,openapi/openapi-common-paths,none,api-disc-openapi-common-001.json
API-DISC-SPEC-DIFF-006,runbooks/discovery/api-disc-spec-diff-006.yaml,discovery,openapi,openapi-observed-diff,"openapi_security_insecure,openapi_security_schemes_present,prerequisites_missing,response_body,response_status,target_reachable,undefined",openapi_security_insecure or 'undefined' in response_body,openapi_security_schemes_present or response_status==401,target_reachable == false or prerequisites_missing == true,openapi/openapi-observed-diff,none,api-disc-spec-diff-006.json
API-DISC-SWAGGER-UI-002,runbooks/discovery/api-disc-swagger-ui-002.yaml,discovery,openapi,swagger-ui-exposure,"openapi_security_insecure,openapi_security_schemes_present,prerequisites_missing,response_body,response_status,target_reachable,undefined",openapi_security_insecure or 'undefined' in response_body,openapi_security_schemes_present or response_status==401,target_reachable == false or prerequisites_missing == true,openapi/swagger-ui-exposure,none,api-disc-swagger-ui-002.json
API-DISC-VERSION-ENUM-003,runbooks/discovery/api-disc-version-enum-003.yaml,discovery,fuzz,api-version-enumeration,"False,True,fuzz_200_ratio,fuzz_wildcard,prerequisites_missing,target_reachable",fuzz_200_ratio > 0.15 or fuzz_wildcard==False,fuzz_200_ratio <= 0.15 or fuzz_wildcard==True,target_reachable == false or prerequisites_missing == true,fuzz/api-version-enumeration,none,api-disc-version-enum-003.json
API-DISC-WEBSOCKET-ENDPOINT-010,runbooks/discovery/api-disc-websocket-endpoint-010.yaml,discovery,websocket,websocket-endpoint-discovery,"enforced,missing,open,prerequisites_missing,strict,target_reachable,upgraded,websocket_origin_validation,websocket_status","websocket_status in {'upgraded','open'} and websocket_origin_validation=='missing'","websocket_origin_validation in {'enforced','strict'}",target_reachable == false or prerequisites_missing == true,websocket/websocket-endpoint-discovery,none,api-disc-websocket-endpoint-010.json
API-INPUT-COMMAND-005,runbooks/input-validation/api-input-command-005.yaml,input-validation,nuclei,command-injection,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/command-injection,none,api-input-command-005.json
API-INPUT-CRLF-017,runbooks/input-validation/api-input-crlf-017.yaml,input-validation,http,crlf-injection,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/crlf-injection,none,api-input-crlf-017.json
API-INPUT-DESERIALIZATION-016,runbooks/input-validation/api-input-deserialization-016.yaml,input-validation,nuclei,unsafe-deserialization,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/unsafe-deserialization,none,api-input-deserialization-016.json
API-INPUT-GRAPHQL-ALIAS-022,runbooks/input-validation/api-input-graphql-alias-022.yaml,input-validation,graphql,graphql-alias-amplification,"errors,graphql_introspection_enabled,prerequisites_missing,response_body,target_reachable",graphql_introspection_enabled or 'errors' in response_body,not graphql_introspection_enabled and 'errors' not in response_body,target_reachable == false or prerequisites_missing == true,graphql/graphql-alias-amplification,none,api-input-graphql-alias-022.json
API-INPUT-GRAPHQL-BATCH-021,runbooks/input-validation/api-input-graphql-batch-021.yaml,input-validation,graphql,graphql-batching,"errors,graphql_introspection_enabled,prerequisites_missing,response_body,target_reachable",graphql_introspection_enabled or 'errors' in response_body,not graphql_introspection_enabled and 'errors' not in response_body,target_reachable == false or prerequisites_missing == true,graphql/graphql-batching,none,api-input-graphql-batch-021.json
API-INPUT-GRAPHQL-INJECTION-020,runbooks/input-validation/api-input-graphql-injection-020.yaml,input-validation,graphql,graphql-injection,"errors,graphql_introspection_enabled,prerequisites_missing,response_body,target_reachable",graphql_introspection_enabled or 'errors' in response_body,not graphql_introspection_enabled and 'errors' not in response_body,target_reachable == false or prerequisites_missing == true,graphql/graphql-injection,none,api-input-graphql-injection-020.json
API-INPUT-JSON-DUPKEY-023,runbooks/input-validation/api-input-json-dupkey-023.yaml,input-validation,http,json-duplicate-keys,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/json-duplicate-keys,none,api-input-json-dupkey-023.json
API-INPUT-LDAP-007,runbooks/input-validation/api-input-ldap-007.yaml,input-validation,http,ldap-injection,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/ldap-injection,none,api-input-ldap-007.json
API-INPUT-NOSQL-AUTH-004,runbooks/input-validation/api-input-nosql-auth-004.yaml,input-validation,http,nosql-auth-bypass,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/nosql-auth-bypass,none,api-input-nosql-auth-004.json
API-INPUT-NOSQL-OPERATOR-003,runbooks/input-validation/api-input-nosql-operator-003.yaml,input-validation,http,nosql-operator-injection,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/nosql-operator-injection,none,api-input-nosql-operator-003.json
API-INPUT-NUMERIC-OVERFLOW-024,runbooks/input-validation/api-input-numeric-overflow-024.yaml,input-validation,http,numeric-overflow,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/numeric-overflow,none,api-input-numeric-overflow-024.json
API-INPUT-PATH-TRAVERSAL-012,runbooks/input-validation/api-input-path-traversal-012.yaml,input-validation,nuclei,path-traversal,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/path-traversal,none,api-input-path-traversal-012.json
API-INPUT-PROTOTYPE-POLLUTION-019,runbooks/input-validation/api-input-prototype-pollution-019.yaml,input-validation,http,prototype-pollution,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/prototype-pollution,none,api-input-prototype-pollution-019.json
API-INPUT-REGEX-DOS-026,runbooks/input-validation/api-input-regex-dos-026.yaml,input-validation,race,regex-dos-bounded,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/regex-dos-bounded,none,api-input-regex-dos-026.json
API-INPUT-REQUEST-SMUGGLING-018,runbooks/input-validation/api-input-request-smuggling-018.yaml,input-validation,nuclei,request-smuggling,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/request-smuggling,none,api-input-request-smuggling-018.json
API-INPUT-SQLI-JSON-002,runbooks/input-validation/api-input-sqli-json-002.yaml,input-validation,sqlmap,sqli-json,"based,boolean,error,injectable,prerequisites_missing,queries,sqlmap_injection_type,stacked,target_reachable,union","sqlmap_injection_type in {'boolean-based','error-based','union-based','stacked-queries'}",sqlmap_injection_type=='not injectable',target_reachable == false or prerequisites_missing == true,sqlmap/sqli-json,none,api-input-sqli-json-002.json
API-INPUT-SQLI-QUERY-001,runbooks/input-validation/api-input-sqli-query-001.yaml,input-validation,sqlmap,sqli-query,"based,boolean,error,injectable,prerequisites_missing,queries,sqlmap_injection_type,stacked,target_reachable,union","sqlmap_injection_type in {'boolean-based','error-based','union-based','stacked-queries'}",sqlmap_injection_type=='not injectable',target_reachable == false or prerequisites_missing == true,sqlmap/sqli-query,none,api-input-sqli-query-001.json
API-INPUT-SSRF-LOCALHOST-010,runbooks/input-validation/api-input-ssrf-localhost-010.yaml,input-validation,http,ssrf-localhost,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/ssrf-localhost,none,api-input-ssrf-localhost-010.json
API-INPUT-SSRF-METADATA-011,runbooks/input-validation/api-input-ssrf-metadata-011.yaml,input-validation,http,ssrf-metadata-synthetic,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/ssrf-metadata-synthetic,none,api-input-ssrf-metadata-011.json
API-INPUT-TEMPLATE-006,runbooks/input-validation/api-input-template-006.yaml,input-validation,nuclei,template-injection,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/template-injection,none,api-input-template-006.json
API-INPUT-TYPE-CONFUSION-025,runbooks/input-validation/api-input-type-confusion-025.yaml,input-validation,http,type-confusion,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/type-confusion,none,api-input-type-confusion-025.json
API-INPUT-UPLOAD-EXTENSION-013,runbooks/input-validation/api-input-upload-extension-013.yaml,input-validation,workflow,file-upload-extension,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/file-upload-extension,none,api-input-upload-extension-013.json
API-INPUT-UPLOAD-MIMETYPE-014,runbooks/input-validation/api-input-upload-mimetype-014.yaml,input-validation,workflow,file-upload-mimetype,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/file-upload-mimetype,none,api-input-upload-mimetype-014.json
API-INPUT-UPLOAD-POLYGLOT-015,runbooks/input-validation/api-input-upload-polyglot-015.yaml,input-validation,workflow,file-upload-polyglot,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/file-upload-polyglot,none,api-input-upload-polyglot-015.json
API-INPUT-XPATH-008,runbooks/input-validation/api-input-xpath-008.yaml,input-validation,http,xpath-injection,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/xpath-injection,none,api-input-xpath-008.json
API-INPUT-XXE-009,runbooks/input-validation/api-input-xxe-009.yaml,input-validation,nuclei,xxe,"critical,high,info,low,medium,nuclei_finding_count,nuclei_severity,prerequisites_missing,target_reachable","nuclei_severity in {'high','critical','medium'}","nuclei_severity in {'low','info'} or nuclei_finding_count==0",target_reachable == false or prerequisites_missing == true,nuclei/xxe,none,api-input-xxe-009.json
API-RATE-BODY-SIZE-008,runbooks/rate-resource/api-rate-body-size-008.yaml,rate-resource,http,request-body-size-limit,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/request-body-size-limit,none,api-rate-body-size-008.json
API-RATE-ENDPOINT-BURST-004,runbooks/rate-resource/api-rate-endpoint-burst-004.yaml,rate-resource,race,endpoint-burst-limit,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/endpoint-burst-limit,none,api-rate-endpoint-burst-004.json
API-RATE-EXPENSIVE-QUERY-005,runbooks/rate-resource/api-rate-expensive-query-005.yaml,rate-resource,race,expensive-query-bounded,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/expensive-query-bounded,none,api-rate-expensive-query-005.json
API-RATE-GRAPHQL-DEPTH-009,runbooks/rate-resource/api-rate-graphql-depth-009.yaml,rate-resource,graphql,graphql-depth-complexity,"errors,graphql_introspection_enabled,prerequisites_missing,response_body,target_reachable",graphql_introspection_enabled or 'errors' in response_body,not graphql_introspection_enabled and 'errors' not in response_body,target_reachable == false or prerequisites_missing == true,graphql/graphql-depth-complexity,none,api-rate-graphql-depth-009.json
API-RATE-LOGIN-001,runbooks/rate-resource/api-rate-login-001.yaml,rate-resource,race,login-rate-limit,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/login-rate-limit,none,api-rate-login-001.json
API-RATE-OTP-002,runbooks/rate-resource/api-rate-otp-002.yaml,rate-resource,race,otp-rate-limit,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/otp-rate-limit,none,api-rate-otp-002.json
API-RATE-PAGINATION-006,runbooks/rate-resource/api-rate-pagination-006.yaml,rate-resource,http,pagination-upper-bound,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/pagination-upper-bound,none,api-rate-pagination-006.json
API-RATE-RESET-003,runbooks/rate-resource/api-rate-reset-003.yaml,rate-resource,race,password-reset-rate-limit,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/password-reset-rate-limit,none,api-rate-reset-003.json
API-RATE-UPLOAD-SIZE-007,runbooks/rate-resource/api-rate-upload-size-007.yaml,rate-resource,workflow,upload-size-limit,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/upload-size-limit,none,api-rate-upload-size-007.json
API-RATE-WEBSOCKET-010,runbooks/rate-resource/api-rate-websocket-010.yaml,rate-resource,websocket,websocket-message-rate,"enforced,missing,open,prerequisites_missing,strict,target_reachable,upgraded,websocket_origin_validation,websocket_status","websocket_status in {'upgraded','open'} and websocket_origin_validation=='missing'","websocket_origin_validation in {'enforced','strict'}",target_reachable == false or prerequisites_missing == true,websocket/websocket-message-rate,none,api-rate-websocket-010.json
API-TOKEN-ABSOLUTE-TIMEOUT-008,runbooks/token-session/api-token-absolute-timeout-008.yaml,token-session,workflow,absolute-timeout,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/absolute-timeout,none,api-token-absolute-timeout-008.json
API-TOKEN-CLOCK-SKEW-016,runbooks/token-session/api-token-clock-skew-016.yaml,token-session,jwt,jwt-clock-skew,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-clock-skew,none,api-token-clock-skew-016.json
API-TOKEN-CONCURRENT-SESSION-006,runbooks/token-session/api-token-concurrent-session-006.yaml,token-session,workflow,concurrent-session-policy,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/concurrent-session-policy,none,api-token-concurrent-session-006.json
API-TOKEN-COOKIE-HTTPONLY-002,runbooks/token-session/api-token-cookie-httponly-002.yaml,token-session,headers,cookie-httponly,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/cookie-httponly,none,api-token-cookie-httponly-002.json
API-TOKEN-COOKIE-SAMESITE-003,runbooks/token-session/api-token-cookie-samesite-003.yaml,token-session,headers,cookie-samesite,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/cookie-samesite,none,api-token-cookie-samesite-003.json
API-TOKEN-COOKIE-SECURE-001,runbooks/token-session/api-token-cookie-secure-001.yaml,token-session,headers,cookie-secure,"failed,handler_signal,hardened,insecure,passed,prerequisites_missing,response_headers,secure,target_reachable,vulnerable","response_headers is not None and len(response_headers) == 0 or handler_signal in {'insecure','vulnerable','failed'}","response_headers is not None and len(response_headers) > 0 or handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,headers/cookie-secure,none,api-token-cookie-secure-001.json
API-TOKEN-IDLE-TIMEOUT-007,runbooks/token-session/api-token-idle-timeout-007.yaml,token-session,workflow,idle-timeout,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/idle-timeout,none,api-token-idle-timeout-007.json
API-TOKEN-IN-URL-009,runbooks/token-session/api-token-in-url-009.yaml,token-session,http,token-in-url,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/token-in-url,none,api-token-in-url-009.json
API-TOKEN-JKU-X5U-TRUST-015,runbooks/token-session/api-token-jku-x5u-trust-015.yaml,token-session,jwt,jwt-remote-key-trust,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-remote-key-trust,none,api-token-jku-x5u-trust-015.json
API-TOKEN-JWK-EXPOSURE-012,runbooks/token-session/api-token-jwk-exposure-012.yaml,token-session,jwt,jwk-exposure,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwk-exposure,none,api-token-jwk-exposure-012.json
API-TOKEN-KID-INJECTION-014,runbooks/token-session/api-token-kid-injection-014.yaml,token-session,jwt,jwt-kid-injection,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-kid-injection,none,api-token-kid-injection-014.json
API-TOKEN-KID-TRAVERSAL-013,runbooks/token-session/api-token-kid-traversal-013.yaml,token-session,jwt,jwt-kid-traversal,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-kid-traversal,none,api-token-kid-traversal-013.json
API-TOKEN-LOGOUT-INVALIDATE-005,runbooks/token-session/api-token-logout-invalidate-005.yaml,token-session,workflow,logout-invalidation,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/logout-invalidation,none,api-token-logout-invalidate-005.json
API-TOKEN-REFRESH-EXPOSURE-011,runbooks/token-session/api-token-refresh-exposure-011.yaml,token-session,http,refresh-token-exposure,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/refresh-token-exposure,none,api-token-refresh-exposure-011.json
